Number,Description,Last Updated,SEC Number,Topic(s),page
F-7,Registration statement under the Securities Act of 1933 for securities of certain Canadian issuers offered for cash upon the exercise of rights granted to existing security holders (PDF),May 2019,SEC2289,"Securities Act of 1933, International",3
F-8,Registration statement under the Securities Act of 1933 for securities of certain Canadian issuers to be issued in exchange offers or a business combination (PDF),May 2019,SEC2290,"Securities Act of 1933, International",3
F-80,Registration statement for securities of certain Canadian issuers to be issued in exchange offers or a business combination (PDF),Feb. 2025,SEC2282,"Securities Act of 1933, International",3
F-N,Appointment of agent for service of process by foreign banks and foreign insurance companies (PDF),Oct. 2006,SEC2306,Securities Act of 1933,3
F-X,Appointment of agent for service of process and undertaking (PDF),July 2022,SEC2288,"Securities Act of 1933, International",4
ID,Uniform application for access codes to file on EDGAR,March 2018,SEC2084,"Securities Act of 1933, Securities Exchange Act of 1934, EDGAR Filers",4
MA,Instructions for the Form MA Series (PDF),Sept. 2013,,"Securities Exchange Act of 1934, Municipal Advisors",4
MA,Application for Municipal Advisor Registration; Annual Update of Municipal Advisor Registration; and Amendment of a Prior Application for Registration (PDF),April 2014,SEC2898,"Securities Exchange Act of 1934, Municipal Advisors",4
MA-I,Information Regarding Natural Persons who Engage in Municipal Advisory Activities (PDF),April 2017,SEC2899,"Securities Exchange Act of 1934, Municipal Advisors",4
MA-NR,Designation of U.S. Agent for Service of Process for Non-Residents (PDF),April 2014,SEC2900,"Securities Exchange Act of 1934, Municipal Advisors",4
MA-W,Notice of Withdrawal from Registration as a Municipal Advisor (PDF),April 2014,SEC2901,"Securities Exchange Act of 1934, Municipal Advisors",4
MSD,Application for registration as a municipal securities dealer or amendment to such application (PDF),Jan. 2026,SEC1534,Municipal Securities,4
